Time,Speed,Location,County,State,Lat,Lon,Comments
0046,UNK,BELOIT,ROCK,WI,42.52,-89.02,DELAYED REPORT VIA SOCIAL MEDIA OF A COLLAPSED GARAGE. (MKX)
0047,UNK,1 WSW HILLSBORO,MONTGOMERY,IL,39.16,-89.5,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM 1 WSW HILLSBORO. SEVERAL TREES UPROOTED AND SNAPPED AT OAK GROVES CEMETERY... SOME SNAPPED 12FT OFF THE GROUND. (LSX)
0047,74,1 ENE DEKALB,DE KALB,IL,41.94,-88.73,TREE DAMAGE AND MINOR GARAGE ROOF DAMAGE ALSO REPORTED. (LOT)
0048,UNK,BELVIDERE,BOONE,IL,42.26,-88.84,EM REPORTS ROOF COLLAPSE ON A BUILDING AT 104 NORTH STATE STREET. POSSIBLE TORNADO DAMAGE. (LOT)
0052,UNK,2 W HERNANDO,DESOTO,MS,34.83,-90.02,SEVERAL TREES WERE KNOCKED DOWN WITH ONE TREE ON A CAR ON HORN LAKE ROAD NORTH OF DEAN ROAD. (MEG)
0053,UNK,4 SSE SUGAR GROVE,KENDALL,IL,41.71,-88.42,MULTIPLE REPORTS OF DAMAGE... MAINLY TO TREES... IN THE VICINITY OF DICKSON AND GALENA ROADS. DAMAGE CONTINUES ENE TOWARDS MONTGOMERY. (LOT)
0053,64,2 WNW SUGAR GROVE,KANE,IL,41.77,-88.47,AURORA ASOS MEASURED 64 MPH. (LOT)
0055,UNK,3.6 WNW EUDORA,TUNICA,MS,34.85,-90.21,DOZENS OF TREES DOWNED AND AN OUTDOOR STORAGE STRUCTURE DESTROYED. (MEG)
0058,UNK,3 WSW NORTH AURORA,KANE,IL,41.79,-88.39,WIRES DOWNED NEAR HERGET MIDDLE SCHOOL IN AURORA. TIME ESTIMATED FROM RADAR. (LOT)
0100,UNK,4 NNE CAPRON,MCHENRY,IL,42.45,-88.7,STRONG WINDS CAUSED DAMAGE TO A RESIDENTIAL CORRUGATED STEEL GARAGE DOOR. (LOT)
0106,61,SCOTT AFB,ST. CLAIR,IL,38.54,-89.85,(LSX)
0106,72,2 NW PLAINFIELD,WILL,IL,41.63,-88.23,MEASURED AT A DAVIS WEATHER STATION. LARGE PINE TREE DOWNED AND MULTIPLE AIR CONDITIONING UNITS BLOWN OVER NEAR MEADOW LANE AND 135TH ST. (LOT)
0107,UNK,3 NW LAKEWOOD,MCHENRY,IL,42.25,-88.42,[DELAYED REPORT] WOOD AND METAL ROOF PANELS REMOVED FROM A FARM BUILDING. TIME ESTIMATED FROM RADAR. (LOT)
0108,UNK,WARRENVILLE,DUPAGE,IL,41.81,-88.17,2 FOOT DIAMETER TREE TOPPLED AND WAS BLOCKING BOTH LANES OF COUNTY ROAD #1/RIVER ROAD AT TOWNLINE ROAD. TIME ESTIMATED BASED ON RADAR. (LOT)
0109,64,1 N NAPERVILLE,DUPAGE,IL,41.78,-88.15,PRIVATE WEATHER STATION RECORDED. (LOT)
0110,UNK,4 W TUNICA,TUNICA,MS,34.69,-90.45,SOME ROOF DAMAGE AND TREES DOWN NEAR THE INTERSECTION OF HIGHWAY 304 AND SCENIC LANE. (MEG)
0110,UNK,3 W HOOPESTON,VERMILION,IL,40.47,-87.73,POSSIBLE TORNADO. FUNNEL CLOUD SIGHTED. MANGLED SHEET METAL DEBRIS IN FIELD WITH DOWNED POWER LINES. (ILX)
0110,UNK,4 NE CHANNAHON,WILL,IL,41.47,-88.18,FOUR LARGE ELM TREES DOWNED. (LOT)
0111,UNK,2 WNW ROMEOVILLE,WILL,IL,41.66,-88.13,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM 2 WNW ROMEOVILLE. I-55 NEAR WEBER ROAD - SEMI-BLOWN OVER ON I-55. (LOT)
0114,73,1 SSE ALMA,MARION,IL,38.71,-88.9,DELAYED REPORT. TIME ESTIMATED FROM RADAR. (LSX)
0115,58,MORRIS AIRPORT,GRUNDY,IL,41.44,-88.42,AT KC09 MORRIS AIRPORT AWOS STATION. (LOT)
0116,67,3 ENE DUDLEYVILLE,BOND,IL,38.84,-89.37,AWOS OBSERVATION FROM GREENVILLE AIRPORT. (LSX)
0117,UNK,2 WSW WELLINGTON,IROQUOIS,IL,40.53,-87.71,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM 2 WSW WELLINGTON. TOOL SHED TOSSED AND TREE DOWN. POTENTIAL TORNADO DAMAGE. TIME ESTIMATED FROM RADAR. (LOT)
0117,UNK,1 W LEMONT,COOK,IL,41.67,-88.03,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM 1 W LEMONT. SEMI BLOWN OVER ON I-355 ON LEMONT BRIDGE CROSSING OF THE DESPLAINES RIVER. (LOT)
0118,UNK,AVISTON,CLINTON,IL,38.61,-89.61,SHINGLES BLOWN OFF BUILDING. (LSX)
0118,UNK,5 SE THOMASBORO,CHAMPAIGN,IL,40.19,-88.12,LARGE SECTIONS OF ROOFING REMOVED SOUTHWEST OF FLATVILLE. (ILX)
